;7;22;31;43;45;51;54;63;80;94;110;114;117;121;125;149;155;178;200;231;232;265;7193;7194;7198;7199;7206;7207;7208;7221;7227;7229;7242;7252;7259;7260;7448;12253;16689;22590;23310;23521;23526;23547;23552;23562;23671;23696;23703;23775;23861;24013;24021;24594;26333;26338;26418;26656;33749;34208;34422;34428;34505;34643;36032;36392;36693;37063;38116;38796;38848;39007;43842;43989;44850;45771;47158;47211;47221;47225;47232;47811;47830;47832;47836;47837;47839;47841;47842;47844;47845;47849;47850;47852;47856;47860;47861;47867;47875;47898;47905;47910;47932;47959;47983;48114;48690;50121;50482;53899;53900;53901;53902;53903;53904;53905;53906;53907;53908;53909;53910;53911;53912;53913;53914;53915;53916;53917;53918;53919;53920;53921;53922;53923;53924;53925;53926;53927;53929;53930;53931;53932;54008;65700;65703
-11628_2012-03-13_15:03:26;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11631_2012-03-13_15:06:58;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11632_2012-03-13_15:15:32;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11633_2012-03-13_15:45:56;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11635_2012-03-13_16:23:24;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11637_2012-03-13_16:30:48;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11640_2012-03-15_10:03:07;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11640_2012-03-15_10:04:47;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11641_2012-03-15_10:16:06;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:19:14;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:23:35;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:24:34;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:25:33;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:26:37;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:27:46;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:29:18;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
-11642_2012-03-15_10:30:17;LSDPF;LCSF;TSLKDF;TSLKDF;KPF;LSDPF;FTT;TSLKDF;LSDPF;MG;LSDPF;LSDPF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;LSF;FTT;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;TSLKDF;LSDPF;TSLKDF;LCSF;TSLKDF;FTT;TSLKDF;TSLKDF;LSDPF;LSDPF;LSDPF;FTT;FTT;LCSF;LCSF;FTT;TSLKDF;LSDPF;TSLKDF;TSLKDF;TSLKDF;LCSF;LSDPF;LSF;LSF;MG;TSLKDF;TSLKDF;LSF;-;TSLKDF;LSDPF;TSLKDF;TSLKDF;FTT;LSDPF;LSDPF;LCSF;DPF;LSDPF;LSF;DPF;LSDPF;LSF;TSLKDF;LSF;MG;TSLKDF;-;TSLKDF;FTT;MG;LSDPF;TSLKDF;TSLKDF;FTT;DPF;DPF;KPF;LSF;DPF;-;DPF;TSLKDF;LSDPF;DPF;FTT;LCSF;MG;TSLKDF;DPF;-;DPF;DPF;TSLKDF;FTT;TSLKDF;TSLKDF;TSLKDF;MG;LCSF;KPF;KPF;LSDPF;FTT;LCSF;MG;FTT;TSLKDF;LCSF;LSF;LSF;TSLKDF;MG;TSLKDF;TSLKDF;MG;LCSF;-;KPF;LCSF;KPF;LSF;MG;TSLKDF;LCSF;TSLKDF;KPF;FTT;FTT;KPF;MG;FTT
